***	**** Program	HYDRUS									
***	****										
Wel	come to HYDR	US-1D									
Dat	e:  25. 9.	Time:  16	: 0:13								
Uni	ts: L = mm	", T = min"	", M = mmo"		l						
											
											
Tim	e:       10.	0									
											
											
Nod	e      Depth	Head	Moisture	Ths	K	C	Flux	Sink	Kapp	a   v/KsTop	Temp
	[L]	[L]	[-]		[L/T]	[1/L]	[L/T]	[1/T]	[-]	[-]	[C]
											
8	-70	-3603.875	0.4052		8.33E-05	2.10E-05	1.38E-04	0.00E+00	-1	6.02E-04	20
9	-80	-3595.601	0.4054		8.39E-05	2.11E-05	-4.46E-05	0.00E+00	-1	-1.94E-04	20
10	-90	-3594.517	0.4054		8.40E-05	2.11E-05	-7.89E-05	0.00E+00	-1	-3.43E-04	20
11	-100	-3594.406	0.4054		8.40E-05	2.11E-05	-8.35E-05	0.00E+00	-1	-3.63E-04	20
12	-110	-3594.399	0.4054		8.40E-05	2.11E-05	-8.39E-05	0.00E+00	-1	-3.65E-04	20
13	-120	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
14	-130	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
15	-140	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
16	-150	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
17	-160	-3594.398	0.4054		8.40E-05	2.11E-05	-8.39E-05	0.00E+00	-1	-3.65E-04	20
18	-170	-3594.373	0.4054		8.40E-05	2.11E-05	-8.29E-05	0.00E+00	-1	-3.60E-04	20
19	-180	-3594.139	0.4054		8.40E-05	2.11E-05	-7.52E-05	0.00E+00	-1	-3.27E-04	20
20	-190	-3592.277	0.4055		8.41E-05	2.11E-05	-3.24E-05	0.00E+00	-1	-1.41E-04	20
